Week,hunting_blind
7/4/10,11.4
7/11/10,13.4
7/18/10,16.1
7/25/10,14.7
8/1/10,22.8
8/8/10,28.1
8/15/10,24.1
8/22/10,15.4
8/29/10,14.1
9/5/10,20.8
9/12/10,22.8
9/19/10,24.8
9/26/10,29.5
10/3/10,24.1
10/10/10,25.5
10/17/10,20.8
10/24/10,25.5
10/31/10,24.8
11/7/10,26.8
11/14/10,29.5
11/21/10,35.5
11/28/10,48.2
12/5/10,25.5
12/12/10,27.5
12/19/10,27.5
12/26/10,22.1
1/2/11,20.1
1/9/11,16.8
1/16/11,8.7
1/23/11,12.7
1/30/11,19.4
2/6/11,11.4
2/13/11,4.7
2/20/11,15.4
2/27/11,4.7
3/6/11,16.1
3/13/11,12.7
3/20/11,7.4
3/27/11,13.4
4/3/11,8.7
4/10/11,8.7
4/17/11,14.1
4/24/11,8.7
5/1/11,8.7
5/8/11,6.7
5/15/11,7.4
5/22/11,4
5/29/11,4
6/5/11,8
6/12/11,6
6/19/11,8.7
6/26/11,9.4
7/3/11,14.7
7/10/11,10.7
7/17/11,11.4
7/24/11,15.4
7/31/11,32.2
8/7/11,19.4
8/14/11,14.7
8/21/11,22.1
8/28/11,22.8
9/4/11,26.8
9/11/11,18.1
9/18/11,30.2
9/25/11,24.1
10/2/11,27.5
10/9/11,26.8
10/16/11,38.2
10/23/11,28.8
10/30/11,28.8
11/6/11,29.5
11/13/11,37.5
11/20/11,41.5
11/27/11,40.9
12/4/11,27.5
12/11/11,27.5
12/18/11,19.4
12/25/11,26.1
1/1/12,24.1
1/8/12,18.1
1/15/12,19.4
1/22/12,12.7
1/29/12,14.1
2/5/12,17.4
2/12/12,10.1
2/19/12,8.7
2/26/12,6.7
3/4/12,13.4
3/11/12,9.4
3/18/12,4
3/25/12,14.7
4/1/12,10.1
4/8/12,16.1
4/15/12,14.7
4/22/12,8.7
4/29/12,8.7
5/6/12,8
5/13/12,6
5/20/12,12.7
5/27/12,12.1
6/3/12,6.7
